# Log file created with: 'geigerlog_simple_500plus.py', Version: 0.1 (code °µ°)
# Python Version: 2.7.12 (default, Dec  4 2017, 14:50:18) [GCC 5.4.0 20160609]
# DateTime,          CPS, CPM, CPM1st, CPM2nd
2018-07-16 09:01:01, 0, 13, 13, 13
2018-07-16 09:01:02, 0, 13, 13, 13
2018-07-16 09:01:03, 0, 13, 13, 13
2018-07-16 09:01:04, 0, 13, 13, 13
2018-07-16 09:01:05, 0, 13, 13, 13
2018-07-16 09:01:06, 0, 13, 13, 13
2018-07-16 09:01:07, 1, 14, 14, 14
2018-07-16 09:01:08, 0, 13, 13, 13
2018-07-16 09:01:09, 0, 13, 13, 13
2018-07-16 09:01:10, 1, 14, 14, 14
2018-07-16 09:01:11, 0, 14, 14, 14
2018-07-16 09:01:12, 0, 14, 14, 14
2018-07-16 09:01:13, 0, 14, 14, 14
2018-07-16 09:01:15, 0, 13, 13, 13
2018-07-16 09:01:16, 1, 14, 14, 14
2018-07-16 09:01:17, 1, 14, 14, 14
2018-07-16 09:01:18, 0, 14, 14, 14
2018-07-16 09:01:19, 1, 15, 15, 15
2018-07-16 09:01:20, 2, 17, 17, 17
2018-07-16 09:01:21, 1, 18, 18, 18
2018-07-16 09:01:22, 1, 19, 19, 19
2018-07-16 09:01:23, 1, 20, 20, 20
2018-07-16 09:01:24, 1, 20, 20, 20
2018-07-16 09:01:25, 0, 20, 20, 20
2018-07-16 09:01:26, 0, 19, 19, 19
2018-07-16 09:01:27, 0, 19, 19, 19
2018-07-16 09:01:28, 0, 19, 19, 19
2018-07-16 09:01:29, 0, 19, 19, 19
2018-07-16 09:01:30, 1, 20, 20, 20
2018-07-16 09:01:31, 0, 20, 20, 20
2018-07-16 09:01:32, 0, 20, 20, 20
2018-07-16 09:01:33, 0, 20, 20, 20
2018-07-16 09:01:34, 0, 20, 20, 20
2018-07-16 09:01:35, 1, 21, 21, 21
2018-07-16 09:01:36, 0, 21, 21, 21
2018-07-16 09:01:37, 1, 22, 22, 22
2018-07-16 09:01:38, 1, 21, 21, 21
2018-07-16 09:01:39, 2, 23, 23, 23
2018-07-16 09:01:40, 0, 23, 23, 23
2018-07-16 09:01:41, 1, 24, 24, 24
2018-07-16 09:01:43, 0, 23, 23, 23
2018-07-16 09:01:44, 1, 24, 24, 24
2018-07-16 09:01:45, 0, 24, 24, 24
2018-07-16 09:01:46, 0, 23, 23, 23
2018-07-16 09:01:47, 1, 24, 24, 24
2018-07-16 09:01:48, 1, 23, 23, 23
2018-07-16 09:01:49, 0, 23, 23, 23
2018-07-16 09:01:50, 0, 23, 23, 23
2018-07-16 09:01:51, 0, 23, 23, 23
2018-07-16 09:01:52, 0, 23, 23, 23
2018-07-16 09:01:53, 0, 23, 23, 23
2018-07-16 09:01:54, 0, 22, 22, 22
2018-07-16 09:01:55, 0, 21, 21, 21
2018-07-16 09:01:56, 0, 21, 21, 21
2018-07-16 09:01:57, 0, 21, 21, 21
2018-07-16 09:01:58, 0, 21, 21, 21
2018-07-16 09:01:59, 0, 21, 21, 21
2018-07-16 09:02:00, 0, 21, 21, 21
2018-07-16 09:02:01, 0, 21, 21, 21
2018-07-16 09:02:02, 0, 21, 21, 21
2018-07-16 09:02:03, 0, 21, 21, 21
2018-07-16 09:02:04, 0, 21, 21, 21
2018-07-16 09:02:05, 0, 21, 21, 21
2018-07-16 09:02:06, 0, 21, 21, 21
